show,category_ar,category_en,name_ar,name_en,verdict_ar,verdict_en,url,image
yes,الساعات,Wearables,جوجل فيتبت اير,Google Fitbit Air,قاتل Whoop. بلا شاشة فما يشد نظرك، أسبوع كامل بين شحنة وشحنة، وما فيه اشتراك شهري عشان يشتغل.,"The Whoop killer. No screen so nothing pulls your eyes, a full week between charges, and no monthly subscription to keep it running.",https://amzn.to/4fn3g46,images/google-fitbit-air.jpg
yes,الشحن,Charging,أنكر باور بانك للابتوب,Anker Laptop Power Bank,92 واط ساعة، يعني تحت حد الطيران 100 وأقدر آخذه بالكابينة. و165 واط وكابلات مدمجة يشحن اللابتوب وما تحتاج تشيل ولا كابل.,"92Wh, so it clears the 100Wh airline limit and flies in your carry on. 165W and built in cables charge the laptop with nothing extra to pack.",https://amzn.to/3RIaqrZ,images/anker-laptop-power-bank.jpg
yes,ملحقات,Accessories,ماوس لوجيتك MX Master 3S,Logitech MX Master 3S,الماوس اللي نسيت إنه موجود. كبسات بلا صوت حتى بغرفة فيها ناس وعجلة تلف صفحة كاملة بلفة وحدة وحتى يشتغل على الزجاج.,"The mouse I stopped noticing. Silent clicks in a shared room, a scroll wheel that spins a full page in one flick, and it tracks even on glass.",https://amzn.to/4faOTRS,images/logitech-mx-master-3s.jpg
yes,موسم الآيفون,iPhone Season,أنكر MagGo باد Qi2,Anker MagGo Qi2 Charging Pad,باد Qi2 مسطّح يلزق مغناطيسي ويعطي 15 واط كاملة. لأصحاب آيفون 12 لين 17 اللي يبون سرعة MagSafe بدون شاحن آبل نفسه.,A flat Qi2 pad that snaps on magnetically at the full 15W. For iPhone 12 through 17 owners who want MagSafe speed without Apple's own charger.,https://www.amazon.com/dp/B0CMH2JVMM?tag=wtipn-20,images/anker-maggo-qi2-pad.jpg
yes,موسم الآيفون,iPhone Season,بيلكين باد Qi2 مع ستاند,Belkin Qi2 Pad with Kickstand,نفس شحن Qi2 المغناطيسي 15 واط بس مع ستاند يوقف الجوال لوضع StandBy. للكومدينة أو المكتب.,Same 15W Qi2 magnetic charge with a kickstand that props the phone up for StandBy. For the nightstand or the desk.,https://www.amazon.com/dp/B0F1RQ48GG?tag=wtipn-20,images/belkin-qi2-pad-kickstand.jpg
yes,موسم الآيفون,iPhone Season,شاحن أنكر برايم 100 واط GaN,Anker Prime 100W GaN Charger,100 واط على ثلاث منافذ من راس GaN صغير. يشحن الآيفون واللابتوب وتابلت من فيشة وحدة وانت مسافر.,"100W across three ports from one small GaN brick. Charges the iPhone, a laptop, and a tablet off a single plug when you travel.",https://www.amazon.com/dp/B0C4DGBHY2?tag=wtipn-20,images/anker-prime-100w-gan.jpg
yes,موسم الآيفون,iPhone Season,كيبل أنكر USB C 140 واط,Anker 140W USB C Cable,كيبل USB C مضفور 140 واط، يشحن الجوال والماك بوك على نفس السلك بأقصى سرعة. هذا اللي تخليه بالشنطة.,"A braided USB C to USB C cable rated 140W, so it fast charges the phone and a MacBook on the same wire. The one to keep in the bag.",https://www.amazon.com/dp/B0CRZ6JJ6D?tag=wtipn-20,images/anker-140w-usbc-cable.jpg
yes,موسم الآيفون,iPhone Season,كيبل يوجرين USB C 100 واط (حبتين),UGREEN 100W USB C Cable (2 pack),كيبلين USB C مضفورين 100 واط، طول كل واحد مترين تقريباً، تكفي تستخدم الجوال من الكنبة وهو يشحن. احتياط زين ويعيش.,"Two braided 100W USB C cables, 6.6 ft each, long enough to use the phone from the sofa while it charges. Good spares that hold up.",https://www.amazon.com/dp/B08D6NCQ1Z?tag=wtipn-20,images/ugreen-100w-usbc-cable.jpg
yes,موسم الآيفون,iPhone Season,أنكر MagGo باور بانك 10 آلاف,Anker MagGo Power Bank 10K,باور بانك 10 آلاف يلزق خلف الجوال مغناطيسي ويشحنه لاسلكي 15 واط. لطلعة يوم بدون ولا كيبل.,"A 10,000mAh bank that sticks to the back of the phone magnetically and charges it wireless at 15W. For a day out with no cable.",https://www.amazon.com/dp/B0D7DKJ75M?tag=wtipn-20,images/anker-maggo-powerbank-10k.jpg
yes,موسم الآيفون,iPhone Season,أنكر باور بانك 20 ألف,Anker Power Bank 20K,باور بانك عادي 20 ألف فيه USB C ومنفذين USB A، يكفي يعبّي الجوال ثلاث لأربع مرات. للأيام الطويلة والسفر، مو للابتوب.,"A plain 20,000mAh brick with USB C and two USB A, enough to refill a phone three to four times. For long days or trips, not for laptops.",https://www.amazon.com/dp/B09SFS9J2K?tag=wtipn-20,images/anker-powerbank-20k.jpg
